Position,Company,Location,Job Type,Posting Date
Malawi Logistics/Warehouse Supervisor,One Acre Fund,"Zomba, Malawi",Fixed Contract,2024-04-15
Software Developer,Malawi Bureau of Standards (MBS),"Blantyre, Malawi",Temporary,2024-04-15
Database Administrator,Malawi Bureau of Standards (MBS),"Blantyre, Malawi",Temporary,2024-04-15
Supplies Assistant,Malawi Bureau of Standards (MBS),"Blantyre, Malawi",Full Time,2024-04-15
Messenger,Malawi Bureau of Standards (MBS),"Lilongwe, Malawi",Full Time,2024-04-15
Security Guard,Malawi Bureau of Standards (MBS),"Blantyre, Malawi",Full Time,2024-04-15
Matron,Malawi College of Accountancy,"Blantyre, Malawi",Full Time,2024-04-15
Library Assistant,Malawi College of Accountancy,Blantyre and Lilongwe,Full Time,2024-04-15
Driver,Malawi College of Accountancy,Blantyre and Lilongwe,Full Time,2024-04-15
Communications and Policy Engagement Manager,African Institute for Development Policy (AFIDEP),"Lilongwe, Malawi",Full Time,2024-04-15
Managing Director,Old Mutual Life Assurance Company,"Blantyre, Malawi",Full Time,2024-04-15
Human Resource and Administration Manager,National Economic Empowerment Fund (NEEF),"Lilongwe, Malawi",Full Time,2024-04-13
Occupational Health Safety Officer,UNIK Construction Ltd,"Lilongwe, Malawi",Full Time,2024-04-12
Dissertation Supervisors and External Examiners,Malawi College of Accountancy,Malawi,Part Time,2024-04-12
Senior Environmental Specialist,World Bank,"Lilongwe, Malawi",Fixed Contract,2024-04-11
Chief Executive Officer,Tobacco Commission,"Lilongwe, Malawi",Full Time,2024-04-11
Learning and Support Teacher,WorkForce Recruitment Services,"Blantyre, Malawi",Full Time,2024-04-10
Mental Health Nurse,WorkForce Recruitment Servces,"Blantyre, Malawi",Full Time,2024-04-10
Psychosocial Counsellor,Workforce Recruitment Services,"Blantyre, Malawi",Full Time,2024-04-10
Temporary Data Entry Clerk,I-TECH Malawi,"Lilongwe, Malawi",Temporary,2024-04-10
Finance Assistant,NCA/DCA Malawi Joint Country Program (JCP),"Lilongwe, Malawi",Full Time,2024-04-10
Programme Coordinator – Gender Based Violence (Re-Advertised),NCA/DCA Malawi Joint Country Program (JCP),"Lilongwe, Malawi",Full Time,2024-04-10
Microinsurance Specialist,CIC Insurance Group,"Lilongwe, Malawi",Full Time,2024-04-10
"Monitoring, Evaluation, and Learning (MEL) Director",Purdue Applied Research Institute,Lilongwe Malawi,Full Time,2024-04-09
Director of Finance and Operations,Purdue Applied Research Institute,Lilongwe Malawi,Full Time,2024-04-09
Research Fellow,MwAPATA Institute,"Lilongwe, Malawi",Fellowship,2024-04-09
Communications Officer,MwAPATA Institute,"Lilongwe, Malawi",Full Time,2024-04-09
Dispatch Rider,H.E. Jackson Engineering Ltd (HEJ),"Lilongwe, Malawi",Full Time,2024-04-09
Head of School,Mount Sinai International School,"Lilongwe, Malawi,",Full Time,2024-04-05
Assistant FAO Representative (Programme),Food and Agriculture Organization (FAO),"Lilongwe, Malawi",Fixed Contract,2024-04-04
Internship Program,African Union,"Addis Ababa, Ethiopia",Internship,2024-04-03
Marketing and Corporate Communications Manager,Cannabis Regulatory Authority (CRA),"Lilongwe, Malawi",Full Time,2024-04-02
